StockCode,semanas_activas,unidades_totales,descripcion,product_line,tasa_rotacion
21918,50,7013,SET 12 KIDS COLOUR  CHALK STICKS,Others,140.26
21922,45,759,UNION STRIPE WITH FRINGE  HAMMOCK,Others,16.866666666666667
21925,37,403,UNION STRIPE CUSHION COVER,Home Decor,10.891891891891891
21926,35,414,RED/CREAM STRIPE CUSHION COVER,Home Decor,11.82857142857143
21927,40,622,BLUE/CREAM STRIPE CUSHION COVER,Home Decor,15.55
21928,51,9704,JUMBO BAG SCANDINAVIAN PAISLEY,Others,190.27450980392157
21929,50,9889,JUMBO BAG PINK VINTAGE PAISLEY,Others,197.78
21930,51,5706,JUMBO STORAGE BAG SKULLS,Others,111.88235294117646
21931,51,11516,JUMBO STORAGE BAG SUKI,Others,225.80392156862746
21932,45,2467,SCANDINAVIAN PAISLEY PICNIC BAG,Others,54.82222222222222
21933,49,2410,PINK VINTAGE PAISLEY PICNIC BAG,Others,49.183673469387756
21934,49,1288,SKULL SHOULDER BAG,Others,26.285714285714285
21935,51,1763,SUKI  SHOULDER BAG,Others,34.568627450980394
21936,48,3758,RED RETROSPOT PICNIC BAG,Others,78.29166666666667
21937,27,1591,STRAWBERRY   PICNIC BAG,Others,58.925925925925924
21942,19,161,SKULLS DESIGN FLANNEL,Others,8.473684210526315
21943,10,57,CAKES AND RABBITS DESIGN FLANNEL,Others,5.7
21944,19,232,KITTENS DESIGN FLANNEL,Others,12.210526315789474
21945,20,225,STRAWBERRIES  DESIGN FLANNEL,Others,11.25
21946,10,72,PARTY TIME DESIGN FLANNEL,Others,7.2
21947,32,596,SET OF 6 HEART CHOPSTICKS,Others,18.625
21948,31,418,SET OF 6 CAKE CHOPSTICKS,Others,13.483870967741936
21949,24,613,SET OF 6 STRAWBERRY CHOPSTICKS,Others,25.541666666666668
21955,46,1159,DOORMAT UNION JACK GUNS AND ROSES,Others,25.195652173913043
21967,49,5166,PACK OF 12 SKULL TISSUES,Others,105.42857142857143
21972,28,292,SET OF 36 DINOSAUR PAPER DOILIES,Stationery,10.428571428571429
21973,24,159,SET OF 36 MUSHROOM PAPER DOILIES,Stationery,6.625
21974,49,2036,SET OF 36 PAISLEY FLOWER DOILIES,Others,41.55102040816327
21975,51,12134,PACK OF 60 DINOSAUR CAKE CASES,Others,237.92156862745097
21976,51,4967,PACK OF 60 MUSHROOM CAKE CASES,Others,97.3921568627451
21977,51,24264,PACK OF 60 PINK PAISLEY CAKE CASES,Others,475.7647058823529
21980,49,6523,PACK OF 12 RED RETROSPOT TISSUES,Others,133.12244897959184
21981,50,5295,PACK OF 12 WOODLAND TISSUES,Others,105.9
21982,51,7346,PACK OF 12 SUKI TISSUES,Others,144.0392156862745
21983,44,2223,PACK OF 12 BLUE PAISLEY TISSUES,Others,50.52272727272727
21984,47,3309,PACK OF 12 PINK PAISLEY TISSUES,Others,70.40425531914893
21985,51,8569,PACK OF 12 HEARTS DESIGN TISSUES,Others,168.01960784313727
21986,49,3985,PACK OF 12 PINK POLKADOT TISSUES,Others,81.3265306122449
21987,49,2050,PACK OF 6 SKULL PAPER CUPS,Stationery,41.83673469387755
21988,48,2194,PACK OF 6 SKULL PAPER PLATES,Stationery,45.708333333333336
21989,49,2068,PACK OF 20 SKULL PAPER NAPKINS,Stationery,42.204081632653065
21990,35,1219,MODERN FLORAL STATIONERY SET,Stationery,34.82857142857143
21991,30,471,BOHEMIAN COLLAGE STATIONERY SET,Stationery,15.7
21992,39,1163,VINTAGE PAISLEY STATIONERY SET,Stationery,29.82051282051282
21993,42,1366,FLORAL FOLK STATIONERY SET,Stationery,32.523809523809526
22021,14,350,BLUE FELT EASTER EGG BASKET,Seasonal,25.0
22023,40,1143,EMPIRE BIRTHDAY CARD,Others,28.575
22024,45,2304,RAINY LADIES BIRTHDAY CARD,Others,51.2
22025,41,1776,RING OF ROSES BIRTHDAY CARD,Others,43.31707317073171
22026,41,1572,BANQUET BIRTHDAY  CARD,Others,38.34146341463415
22027,48,4165,TEA PARTY BIRTHDAY CARD,Kitchenware,86.77083333333333
22028,46,2915,PENNY FARTHING BIRTHDAY CARD,Others,63.369565217391305
22029,51,7858,SPACEBOY BIRTHDAY CARD,Others,154.07843137254903
22030,44,5361,SWALLOWS GREETING CARD,Others,121.8409090909091
22031,26,363,BOTANICAL LAVENDER BIRTHDAY CARD,Others,13.961538461538462
22032,25,361,BOTANICAL LILY GREETING CARD,Others,14.44
22033,16,336,BOTANICAL ROSE GREETING CARD,Others,21.0
22034,1,3,ROBIN CHRISTMAS CARD,Seasonal,3.0
22035,40,1406,VINTAGE CARAVAN GREETING CARD,Others,35.15
22037,47,3795,ROBOT BIRTHDAY CARD,Others,80.74468085106383
22038,18,475,BOTANICAL LAVENDER GIFT WRAP,Others,26.38888888888889
22039,6,250,BOTANICAL LILY GIFT WRAP,Others,41.666666666666664
22040,23,725,BOTANICAL ROSE GIFT WRAP,Others,31.52173913043478
22041,49,3812,"RECORD FRAME 7"" SINGLE SIZE ",Others,77.79591836734694
22042,13,372,CHRISTMAS CARD SINGING ANGEL,Seasonal,28.615384615384617
22043,16,1188,CHRISTMAS CARD SCREEN PRINT,Seasonal,74.25
22044,13,816,CHRISTMAS CARD STACK OF PRESENTS,Seasonal,62.76923076923077
22045,47,6502,SPACEBOY GIFT WRAP,Others,138.3404255319149
22046,43,2250,TEA PARTY  WRAPPING PAPER,Stationery,52.325581395348834
22047,43,3400,EMPIRE GIFT WRAP,Others,79.06976744186046
22048,25,975,BIRTHDAY BANQUET GIFT WRAP,Others,39.0
22049,11,1025,WRAP CHRISTMAS SCREEN PRINT,Seasonal,93.18181818181819
22050,25,1225,PINK PAISLEY ROSE GIFT WRAP,Others,49.0
22051,29,1000,BLUE SCANDINAVIAN PAISLEY WRAP,Others,34.48275862068966
22052,13,571,VINTAGE CARAVAN GIFT WRAP,Others,43.92307692307692
22053,19,4236,EMPIRE DESIGN ROSETTE,Others,222.94736842105263
22055,44,1248,MINI CAKE STAND  HANGING STRAWBERY,Others,28.363636363636363
22057,27,578,CERAMIC PLATE STRAWBERRY DESIGN,Kitchenware,21.40740740740741
22059,44,1749,CERAMIC STRAWBERRY DESIGN MUG,Kitchenware,39.75
22060,15,233,LARGE CAKE STAND HANGING HEARTS,Others,15.533333333333333
22061,44,565,LARGE CAKE STAND  HANGING STRAWBERY,Others,12.840909090909092
22062,29,559,CERAMIC BOWL WITH LOVE HEART DESIGN,Kitchenware,19.275862068965516
22063,40,544,CERAMIC BOWL WITH STRAWBERRY DESIGN,Kitchenware,13.6
22064,47,1608,PINK DOUGHNUT TRINKET POT,Others,34.212765957446805
22065,23,6440,CHRISTMAS PUDDING TRINKET POT,Seasonal,280.0
22066,45,2248,LOVE HEART TRINKET POT,Others,49.955555555555556
22067,34,389,CHOC TRUFFLE GOLD TRINKET POT,Others,11.441176470588236
22068,36,437,BLACK PIRATE TREASURE CHEST,Others,12.13888888888889
22069,23,220,BROWN  PIRATE TREASURE CHEST,Others,9.565217391304348
22070,34,874,SMALL RED RETROSPOT MUG IN BOX,Kitchenware,25.705882352941178
22071,31,711,SMALL WHITE RETROSPOT MUG IN BOX,Kitchenware,22.93548387096774
22072,43,813,RED RETROSPOT TEA CUP AND SAUCER,Kitchenware,18.906976744186046
22073,15,300,RED RETROSPOT STORAGE JAR,Others,20.0
22074,27,1001,6 RIBBONS SHIMMERING PINKS,Others,37.074074074074076
22075,22,1565,6 RIBBONS ELEGANT CHRISTMAS,Seasonal,71.13636363636364
22076,40,1035,6 RIBBONS EMPIRE,Others,25.875
22077,51,8605,6 RIBBONS RUSTIC CHARM,Others,168.72549019607843
22078,35,1300,RIBBON REEL LACE DESIGN,Others,37.142857142857146
22079,46,1715,RIBBON REEL HEARTS DESIGN,Others,37.28260869565217
22080,25,1182,RIBBON REEL POLKADOTS,Others,47.28
22081,38,595,RIBBON REEL FLORA + FAUNA,Others,15.657894736842104
22082,50,2558,RIBBON REEL STRIPES DESIGN,Others,51.16
22083,51,4307,PAPER CHAIN KIT RETROSPOT,Stationery,84.45098039215686
22084,38,4893,PAPER CHAIN KIT EMPIRE,Stationery,128.76315789473685
22085,38,507,PAPER CHAIN KIT SKULLS,Stationery,13.342105263157896
22086,34,15617,PAPER CHAIN KIT 50'S CHRISTMAS,Stationery,459.3235294117647
22087,26,3779,PAPER BUNTING WHITE LACE,Stationery,145.34615384615384
22088,29,1698,PAPER BUNTING COLOURED LACE,Stationery,58.55172413793103
22089,48,1190,PAPER BUNTING VINTAGE PAISLEY,Stationery,24.791666666666668
22090,51,6879,PAPER BUNTING RETROSPOT,Stationery,134.88235294117646
22091,36,1945,EMPIRE TISSUE BOX,Others,54.02777777777778
22092,28,668,BLUE PAISLEY TISSUE BOX,Others,23.857142857142858
22093,32,1828,MOTORING TISSUE BOX,Others,57.125
22094,37,2087,RED RETROSPOT TISSUE BOX,Others,56.4054054054054
22095,28,1578,LADS ONLY TISSUE BOX,Others,56.357142857142854
22096,31,1364,PINK PAISLEY SQUARE TISSUE BOX,Others,44.0
22097,38,1591,SWALLOW SQUARE TISSUE BOX,Others,41.86842105263158
22098,42,1957,BOUDOIR SQUARE TISSUE BOX,Others,46.595238095238095
22099,38,1405,CARAVAN SQUARE TISSUE BOX,Others,36.973684210526315
22100,22,729,SKULLS SQUARE TISSUE BOX,Others,33.13636363636363
22101,16,837,MIRROR MOSAIC VOTIVE HOLDER,Others,52.3125
22102,17,1533,MIRROR MOSAIC T-LIGHT HOLDER,Others,90.17647058823529
22103,13,1165,MIRROR MOSAIC T-LIGHT HOLDER ROUND,Others,89.61538461538461
22104,12,151,MIRROR MOSAIC CANDLE PLATE,Kitchenware,12.583333333333334
22105,9,506,MIRROR MOSAIC GOBLET CANDLE HOLDER,Others,56.22222222222222
22106,10,286,MIRROR MOSAIC HURRICANE LAMP,Others,28.6
22107,31,293,PIZZA PLATE IN BOX,Kitchenware,9.451612903225806
22108,18,101,PING! MICROWAVE PLATE,Kitchenware,5.611111111111111
22109,44,1383,FULL ENGLISH BREAKFAST PLATE,Kitchenware,31.431818181818183
22110,31,618,BIRD HOUSE HOT WATER BOTTLE,Others,19.93548387096774
22111,46,4259,SCOTTIE DOG HOT WATER BOTTLE,Others,92.58695652173913
22112,51,5160,CHOCOLATE HOT WATER BOTTLE,Others,101.17647058823529
22113,46,3156,GREY HEART HOT WATER BOTTLE,Others,68.6086956521739
22114,21,3736,HOT WATER BOTTLE TEA AND SYMPATHY,Kitchenware,177.9047619047619
22115,47,1495,METAL SIGN EMPIRE TEA,Kitchenware,31.80851063829787
22116,37,505,METAL SIGN HIS DINNER IS SERVED,Others,13.64864864864865
22117,35,1290,METAL SIGN HER DINNER IS SERVED,Others,36.857142857142854
22118,27,219,JOY WOODEN BLOCK LETTERS,Others,8.11111111111111
22119,33,348,PEACE WOODEN BLOCK LETTERS,Others,10.545454545454545
22120,47,505,WELCOME  WOODEN BLOCK LETTERS,Others,10.74468085106383
22121,26,333,NOEL WOODEN BLOCK LETTERS,Others,12.807692307692308
22123,32,443,PING MICROWAVE APRON,Others,13.84375
22124,14,79,SET OF 2 TEA TOWELS PING MICROWAVE,Kitchenware,5.642857142857143
22125,1,4,UNION JACK HOT WATER BOTTLE,Others,4.0
22127,11,402,PARTY CONES CARNIVAL ASSORTED,Others,36.54545454545455
22128,37,1729,PARTY CONES CANDY ASSORTED,Others,46.729729729729726
22129,23,992,PARTY CONES CANDY TREE DECORATION,Others,43.130434782608695
22130,25,1505,PARTY CONE CHRISTMAS DECORATION,Seasonal,60.2
22131,48,1890,FOOD CONTAINER SET 3 LOVE HEART,Others,39.375
22132,36,935,RED LOVE HEART SHAPE CUP,Others,25.97222222222222
22133,33,702,PINK LOVE HEART SHAPE CUP,Others,21.272727272727273
22134,29,637,MINI LADLE LOVE HEART RED,Others,21.96551724137931
22135,30,262,MINI LADLE LOVE HEART PINK,Others,8.733333333333333
22136,33,334,LOVE HEART SOCK HANGER,Others,10.121212121212121
22137,10,68,BATHROOM SET LOVE HEART DESIGN,Others,6.8
22138,50,4797,BAKING SET 9 PIECE RETROSPOT,Others,95.94
22139,51,4248,RETROSPOT TEA SET CERAMIC 11 PC,Kitchenware,83.29411764705883
22141,26,2448,CHRISTMAS CRAFT TREE TOP ANGEL,Seasonal,94.15384615384616
22142,25,3073,CHRISTMAS CRAFT WHITE FAIRY,Seasonal,122.92
22144,26,3468,CHRISTMAS CRAFT LITTLE FRIENDS,Seasonal,133.3846153846154
22145,1,30,CHRISTMAS CRAFT HEART STOCKING,Seasonal,30.0
22146,1,1,EASTER CRAFT IVY WREATH WITH CHICK,Seasonal,1.0
22147,50,6127,FELTCRAFT BUTTERFLY HEARTS,Others,122.54
22148,23,1819,EASTER CRAFT 4 CHICKS,Seasonal,79.08695652173913
22149,47,5890,FELTCRAFT 6 FLOWER FRIENDS,Others,125.31914893617021
22150,49,2923,3 STRIPEY MICE FELTCRAFT,Others,59.6530612244898
22151,50,14877,PLACE SETTING WHITE HEART,Others,297.54
22152,34,2351,PLACE SETTING WHITE STAR,Others,69.1470588235294
22153,24,2459,ANGEL DECORATION STARS ON DRESS,Others,102.45833333333333
22154,23,3532,ANGEL DECORATION 3 BUTTONS,Others,153.56521739130434
22155,22,2203,STAR DECORATION RUSTIC,Others,100.13636363636364
22156,47,1875,HEART DECORATION WITH PEARLS,Others,39.8936170212766
22157,6,212,ANGEL DECORATION WITH LACE PADDED,Others,35.333333333333336
22158,33,2895,3 HEARTS HANGING DECORATION RUSTIC,Others,87.72727272727273
22161,37,4143,HEART DECORATION RUSTIC HANGING,Others,111.97297297297297
22162,23,106,HEART GARLAND RUSTIC PADDED,Others,4.608695652173913
22163,22,626,HEART STRING MEMO HOLDER HANGING,Others,28.454545454545453
22164,8,71,STRING OF STARS CARD HOLDER,Others,8.875
22165,23,267,"DIAMANTE HEART SHAPED WALL MIRROR, ",Others,11.608695652173912
22166,13,122,WALL MIRROR RECTANGLE DIAMANTE PINK,Others,9.384615384615385
22167,35,121,OVAL WALL MIRROR DIAMANTE,Others,3.4571428571428573
22168,17,139,ORGANISER WOOD ANTIQUE WHITE,Others,8.176470588235293
22169,50,1075,FAMILY ALBUM WHITE PICTURE FRAME,Others,21.5
22170,48,1023,PICTURE FRAME WOOD TRIPLE PORTRAIT,Others,21.3125
22171,49,1723,3 HOOK PHOTO SHELF ANTIQUE WHITE,Others,35.16326530612245
22173,45,2151,METAL 4 HOOK HANGER FRENCH CHATEAU,Kitchenware,47.8
22174,49,2688,PHOTO CUBE,Others,54.857142857142854
22175,46,841,PINK OWL SOFT TOY,Toys & Games,18.282608695652176
22176,40,489,BLUE OWL SOFT TOY,Toys & Games,12.225
22178,51,22433,VICTORIAN GLASS HANGING T-LIGHT,Others,439.8627450980392
22179,46,796,SET 10 LIGHTS NIGHT OWL,Others,17.304347826086957
22180,45,303,RETROSPOT LAMP,Others,6.733333333333333
22181,26,577,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Others,22.192307692307693
22182,19,206,CAKE STAND VICTORIAN FILIGREE SMALL,Others,10.842105263157896
22183,11,74,CAKE STAND VICTORIAN FILIGREE MED,Others,6.7272727272727275
22184,4,8,CAKE STAND VICTORIAN FILIGREE LARGE,Others,2.0
22185,43,1428,SLATE TILE NATURAL HANGING,Others,33.2093023255814
22186,21,801,RED STAR CARD HOLDER,Others,38.142857142857146
22187,20,1183,GREEN CHRISTMAS TREE CARD HOLDER,Seasonal,59.15
22188,47,4844,BLACK HEART CARD HOLDER,Others,103.06382978723404
22189,50,8195,CREAM HEART CARD HOLDER,Others,163.9
22190,23,566,LOCAL CAFE MUG,Kitchenware,24.608695652173914
22191,50,1426,IVORY DINER WALL CLOCK,Others,28.52
22192,50,907,BLUE DINER WALL CLOCK,Others,18.14
22193,51,1352,RED DINER WALL CLOCK,Others,26.50980392156863
22194,22,53,BLACK DINER WALL CLOCK,Others,2.409090909090909
22195,44,1699,LARGE HEART MEASURING SPOONS,Others,38.61363636363637
22196,50,2385,SMALL HEART MEASURING SPOONS,Others,47.7
22197,51,49183,SMALL POPCORN HOLDER,Others,964.3725490196078
22198,8,873,LARGE POPCORN HOLDER,Others,109.125
22199,39,384,FRYING PAN RED RETROSPOT,Others,9.846153846153847
22200,37,326,FRYING PAN PINK POLKADOT,Others,8.81081081081081
22201,25,108,FRYING PAN BLUE POLKADOT,Others,4.32
22202,10,39,MILK PAN PINK POLKADOT,Others,3.9
22203,39,310,MILK PAN RED RETROSPOT,Others,7.948717948717949
22204,22,96,MILK PAN BLUE POLKADOT,Others,4.363636363636363
22207,43,1200,FRYING PAN UNION FLAG,Others,27.906976744186046
22208,39,1289,WOOD STAMP SET THANK YOU,Others,33.05128205128205
22209,41,825,WOOD STAMP SET HAPPY BIRTHDAY,Others,20.121951219512194
22210,31,914,WOOD STAMP SET BEST WISHES,Others,29.483870967741936
22211,39,783,WOOD STAMP SET FLOWERS,Others,20.076923076923077
22212,51,1422,FOUR HOOK  WHITE LOVEBIRDS,Others,27.88235294117647
22214,14,114,CANDLE PLATE LACE WHITE,Kitchenware,8.142857142857142
22215,41,330,CAKE STAND WHITE TWO TIER LACE,Others,8.048780487804878
22216,13,327,T-LIGHT HOLDER WHITE LACE,Others,25.153846153846153
22217,29,765,T-LIGHT HOLDER HANGING LACE,Others,26.379310344827587
22218,1,1,CAKE STAND LACE WHITE,Others,1.0
22219,51,3372,LOVEBIRD HANGING DECORATION WHITE,Others,66.11764705882354
22220,37,214,CAKE STAND LOVEBIRD 2 TIER WHITE,Others,5.783783783783784
22221,30,124,CAKE STAND LOVEBIRD 2 TIER PINK,Others,4.133333333333334
22222,48,824,CAKE PLATE LOVEBIRD WHITE,Kitchenware,17.166666666666668
22223,26,315,CAKE PLATE LOVEBIRD PINK,Kitchenware,12.115384615384615
22224,47,688,WHITE LOVEBIRD LANTERN,Home Decor,14.638297872340425
22227,48,1969,HANGING HEART MIRROR DECORATION,Others,41.020833333333336
22228,34,852,BUNNY WOODEN PAINTED WITH BIRD,Others,25.058823529411764
22229,28,495,BUNNY WOODEN PAINTED WITH FLOWER,Others,17.678571428571427
22230,35,926,JIGSAW TREE WITH WATERING CAN,Others,26.457142857142856
22231,40,869,JIGSAW TREE WITH BIRDHOUSE,Others,21.725
22232,30,623,JIGSAW TOADSTOOLS 3 PIECE,Others,20.766666666666666
22233,34,541,JIGSAW RABBIT AND BIRDHOUSE,Others,15.911764705882353
22236,39,308,CAKE STAND 3 TIER MAGIC GARDEN,Others,7.897435897435898
22241,27,1788,GARLAND WOODEN HAPPY EASTER,Seasonal,66.22222222222223
22242,10,631,5 HOOK HANGER MAGIC TOADSTOOL,Others,63.1
22243,41,3055,5 HOOK HANGER RED MAGIC TOADSTOOL,Others,74.51219512195122
22244,41,1617,3 HOOK HANGER MAGIC GARDEN,Others,39.4390243902439
22245,21,1199,"HOOK, 1 HANGER ,MAGIC GARDEN",Others,57.095238095238095
22246,22,278,MAGIC GARDEN FELT GARLAND,Others,12.636363636363637
22247,17,485,BUNNY DECORATION MAGIC GARDEN,Others,28.529411764705884
22248,18,383,DECORATION  PINK CHICK MAGIC GARDEN,Others,21.27777777777778
22249,20,645,DECORATION WHITE CHICK MAGIC GARDEN,Others,32.25
22250,21,449,DECORATION  BUTTERFLY  MAGIC GARDEN,Others,21.38095238095238
22251,27,520,BIRDHOUSE DECORATION MAGIC GARDEN,Others,19.25925925925926
22252,39,650,BIRDCAGE DECORATION TEALIGHT HOLDER,Kitchenware,16.666666666666668
22254,28,594,FELT TOADSTOOL LARGE,Others,21.214285714285715
22255,26,542,FELT TOADSTOOL  SMALL,Others,20.846153846153847
22256,14,262,FELT FARM ANIMAL CHICKEN,Others,18.714285714285715
22257,12,283,FELT FARM ANIMAL SHEEP,Others,23.583333333333332
22258,20,722,FELT FARM ANIMAL RABBIT,Others,36.1
22259,8,384,FELT FARM ANIMAL HEN,Others,48.0
22260,24,410,FELT EGG COSY BLUE RABBIT,Others,17.083333333333332
22261,26,520,FELT EGG COSY WHITE RABBIT,Others,20.0
22262,33,924,FELT EGG COSY CHICKEN,Others,28.0
22263,13,256,FELT EGG COSY LADYBIRD,Others,19.692307692307693
22264,15,1393,FELT FARM ANIMAL WHITE BUNNY,Others,92.86666666666666
22265,20,514,EASTER DECORATION NATURAL CHICK,Seasonal,25.7
22266,36,1861,EASTER DECORATION HANGING BUNNY,Seasonal,51.69444444444444
22267,35,828,EASTER DECORATION EGG BUNNY,Seasonal,23.65714285714286
22268,37,1838,EASTER DECORATION SITTING BUNNY,Seasonal,49.67567567567568
22269,37,841,EGG CUP NATURAL CHICKEN,Others,22.72972972972973
22270,23,211,HAPPY EASTER HANGING DECORATION,Seasonal,9.173913043478262
22271,49,1653,FELTCRAFT DOLL ROSIE,Others,33.734693877551024
22272,18,194,FELTCRAFT DOLL MARIA,Others,10.777777777777779
22273,51,4469,FELTCRAFT DOLL MOLLY,Others,87.62745098039215
22274,50,1301,FELTCRAFT DOLL EMILY,Others,26.02
22275,1,69,WEEKEND BAG VINTAGE ROSE PAISLEY,Others,69.0
22276,35,253,WASH BAG VINTAGE ROSE PAISLEY,Others,7.228571428571429
22277,37,355,COSMETIC BAG VINTAGE ROSE PAISLEY,Others,9.594594594594595
22278,35,244,OVERNIGHT BAG VINTAGE ROSE PAISLEY,Others,6.9714285714285715
22279,28,480,POCKET BAG BLUE PAISLEY RED SPOT,Others,17.142857142857142
22280,21,177,POCKET BAG PINK PAISELY BROWN SPOT,Others,8.428571428571429
22281,18,109,EASTER TREE YELLOW BIRDS,Seasonal,6.055555555555555
22282,38,111,12 EGG HOUSE PAINTED WOOD,Others,2.9210526315789473
22283,44,258,6 EGG HOUSE PAINTED WOOD,Others,5.863636363636363
22284,35,901,HEN HOUSE DECORATION,Others,25.742857142857144
22285,33,834,HANGING HEN ON NEST DECORATION,Others,25.272727272727273
22286,36,1051,"DECORATION , WOBBLY RABBIT , METAL ",Others,29.194444444444443
22287,26,750,"DECORATION , WOBBLY CHICKEN, METAL ",Others,28.846153846153847
22288,21,453,HANGING METAL RABBIT DECORATION,Others,21.571428571428573
22289,12,126,HANGING METAL CHICKEN DECORATION,Others,10.5
22291,33,1243,HANGING CHICK CREAM DECORATION,Others,37.666666666666664
22292,31,1088,HANGING CHICK  YELLOW DECORATION,Others,35.096774193548384
22293,34,821,HANGING CHICK GREEN DECORATION,Others,24.147058823529413
22294,49,5439,HEART FILIGREE DOVE  SMALL,Others,111.0
22295,50,2737,HEART FILIGREE DOVE LARGE,Others,54.74
22296,49,3055,HEART IVORY TRELLIS LARGE,Others,62.3469387755102
22297,50,3863,HEART IVORY TRELLIS SMALL,Others,77.26
22299,21,1316,PIG KEYRING WITH LIGHT & SOUND,Others,62.666666666666664
22300,43,1450,COFFEE MUG DOG + BALL DESIGN,Kitchenware,33.72093023255814
22301,49,2118,COFFEE MUG CAT + BIRD DESIGN,Kitchenware,43.224489795918366
22302,50,2288,COFFEE MUG PEARS  DESIGN,Kitchenware,45.76
22303,51,2770,COFFEE MUG APPLES DESIGN,Kitchenware,54.31372549019608
22304,26,744,COFFEE MUG BLUE PAISLEY DESIGN,Kitchenware,28.615384615384617
22305,33,684,COFFEE MUG PINK PAISLEY DESIGN,Kitchenware,20.727272727272727
22306,22,1138,SILVER MUG BONE CHINA TREE OF LIFE,Kitchenware,51.72727272727273
22307,16,729,GOLD MUG BONE CHINA TREE OF LIFE,Kitchenware,45.5625
22308,27,145,TEA COSY BLUE STRIPE,Kitchenware,5.37037037037037
22309,31,293,TEA COSY RED  STRIPE,Kitchenware,9.451612903225806
22310,24,531,IVORY KNITTED MUG COSY,Kitchenware,22.125
22311,37,1054,OFFICE MUG WARMER BLACK+SILVER,Kitchenware,28.486486486486488
22312,39,503,OFFICE MUG WARMER POLKADOT,Kitchenware,12.897435897435898
22313,27,553,OFFICE MUG WARMER PINK,Kitchenware,20.48148148148148
22314,36,517,OFFICE MUG WARMER CHOC+BLUE,Kitchenware,14.36111111111111
22315,44,761,200 RED + WHITE BENDY STRAWS,Others,17.295454545454547
22316,28,638,200 BENDY SKULL STRAWS,Others,22.785714285714285
22317,25,172,FIVE CATS HANGING DECORATION,Others,6.88
22318,41,396,FIVE HEART HANGING DECORATION,Others,9.658536585365853
22319,29,1346,HAIRCLIPS FORTIES FABRIC ASSORTED,Others,46.41379310344828
22320,33,183,BIRDS MOBILE VINTAGE DESIGN,Others,5.545454545454546
22321,28,760,BIRD DECORATION RED RETROSPOT,Others,27.142857142857142
22322,20,390,BIRD DECORATION GREEN POLKADOT,Others,19.5
22323,1,1,PINK POLKADOT KIDS BAG,Others,1.0
22324,18,228,BLUE POLKADOT KIDS BAG,Others,12.666666666666666
22325,37,153,MOBILE VINTAGE HEARTS,Others,4.135135135135135
22326,51,8100,ROUND SNACK BOXES SET OF4 WOODLAND,Others,158.8235294117647
22327,48,832,ROUND SNACK BOXES SET OF 4 SKULLS,Others,17.333333333333332
22328,51,6481,ROUND SNACK BOXES SET OF 4 FRUITS,Others,127.07843137254902
22329,47,1387,ROUND CONTAINER SET OF 5 RETROSPOT,Others,29.51063829787234
22331,47,1768,WOODLAND PARTY BAG + STICKER SET,Toys & Games,37.61702127659574
22332,48,982,SKULLS PARTY BAG + STICKER SET,Toys & Games,20.458333333333332
22333,51,4391,RETROSPOT PARTY BAG + STICKER SET,Toys & Games,86.09803921568627
22334,44,684,DINOSAUR PARTY BAG + STICKER SET,Toys & Games,15.545454545454545
22335,44,2024,HEART DECORATION PAINTED ZINC,Others,46.0
22336,25,2283,DOVE DECORATION PAINTED ZINC,Others,91.32
22337,13,635,ANGEL DECORATION PAINTED ZINC,Others,48.84615384615385
22338,18,4179,STAR DECORATION PAINTED ZINC,Others,232.16666666666666
22339,12,2283,CHRISTMAS TREE PAINTED ZINC,Seasonal,190.25
22340,12,993,NOEL GARLAND PAINTED ZINC,Others,82.75
22341,30,405,LOVE GARLAND PAINTED ZINC,Others,13.5
22342,27,833,HOME GARLAND PAINTED ZINC,Others,30.85185185185185
22343,35,1705,PARTY PIZZA DISH RED RETROSPOT,Others,48.714285714285715
22344,23,1049,PARTY PIZZA DISH PINK POLKADOT,Others,45.608695652173914
22345,25,972,PARTY PIZZA DISH BLUE POLKADOT,Others,38.88
22346,17,885,PARTY PIZZA DISH GREEN POLKADOT,Others,52.05882352941177
22348,50,3863,TEA BAG PLATE RED RETROSPOT,Kitchenware,77.26
22349,41,1341,DOG BOWL CHASING BALL DESIGN,Kitchenware,32.707317073170735
22350,39,1356,ILLUSTRATED CAT BOWL,Kitchenware,34.76923076923077
22351,1,12,DOTCOMGIFTSHOP TEA TOWEL,Kitchenware,12.0
22352,51,2853,LUNCH BOX WITH CUTLERY RETROSPOT,Others,55.94117647058823
22353,12,61,LUNCH BOX WITH CUTLERY FAIRY CAKES,Others,5.083333333333333
22354,39,700,RETROSPOT PADDED SEAT CUSHION,Home Decor,17.94871794871795
22355,51,8975,CHARLOTTE BAG SUKI DESIGN,Others,175.98039215686273
22356,51,7306,CHARLOTTE BAG PINK POLKADOT,Others,143.2549019607843
22357,41,324,KINGS CHOICE BISCUIT TIN,Others,7.902439024390244
22358,43,456,KINGS CHOICE TEA CADDY,Kitchenware,10.604651162790697
22359,34,162,GLASS JAR KINGS CHOICE,Others,4.764705882352941
22360,44,886,GLASS JAR ENGLISH CONFECTIONERY,Others,20.136363636363637
22361,47,539,GLASS JAR DAISY FRESH COTTON WOOL,Others,11.46808510638298
22362,39,349,GLASS JAR PEACOCK BATH SALTS,Others,8.948717948717949
22363,35,454,GLASS JAR MARMALADE,Others,12.971428571428572
22364,42,519,GLASS JAR DIGESTIVE BISCUITS,Others,12.357142857142858
